Turtle_ID,State,Sex,Straight_Carapace_Length,Growth,Age,Year
11,NC,unknown,31.4,2.1,2.75,1990
11,NC,unknown,33.9,2.7,3.75,1991
11,NC,unknown,35.7,0.9,4.75,1992
11,NC,unknown,36.3,0.3,5.75,1993
11,NC,unknown,36.9,0.9,6.75,1994
11,NC,unknown,38,1.3,7.75,1995
11,NC,unknown,40.2,3.2,8.75,1996
11,NC,unknown,42.9,2.2,9.75,1997
11,NC,unknown,44.3,0.6,10.75,1998
12,VA,unknown,52.9,3.4,7.75,1998
12,VA,unknown,55.4,1.6,8.75,1999
12,VA,unknown,58.4,4.4,9.75,2000
12,VA,unknown,62.8,4.3,10.75,2001
13,SC,male,27.6,2.3,3.75,2001
13,SC,male,30.8,4.1,4.75,2002
13,SC,male,33.9,2.1,5.75,2003
13,SC,male,36.8,3.8,6.75,2004
13,SC,male,39.6,1.7,7.75,2005
13,SC,male,41.7,2.6,8.75,2006
13,SC,male,44.1,2.2,9.75,2007
13,SC,male,46.5,2.7,10.75,2008
13,SC,male,49.7,3.8,11.75,2009
14,GA,male,72.1,1.4,19.75,1996
14,GA,male,73.3,1,20.75,1997
14,GA,male,74.2,0.8,21.75,1998
14,GA,male,75.1,1.1,22.75,1999
14,GA,male,75.9,0.3,23.75,2000
14,GA,male,76.4,0.8,24.75,2001
14,GA,male,78.2,2.7,25.75,2002
14,GA,male,80.1,1,26.75,2003
14,GA,male,81,0.7,27.75,2004
14,GA,male,81.4,0,28.75,2005
14,GA,male,81.4,0.1,29.75,2006
14,GA,male,81.6,0.2,30.75,2007
14,GA,male,81.8,0.2,31.75,2008
15,NC,unknown,31.1,2.7,4.75,1990
15,NC,unknown,33.7,2.5,5.75,1991
15,NC,unknown,35.6,1.1,6.75,1992
15,NC,unknown,37.4,2.6,7.75,1993
15,NC,unknown,39.7,1.9,8.75,1994
15,NC,unknown,42.6,4,9.75,1995
15,NC,unknown,45.2,1.2,10.75,1996
15,NC,unknown,47.2,2.8,11.75,1997
15,NC,unknown,50.7,4.1,12.75,1998
15,NC,unknown,55.4,5.4,13.75,1999
15,NC,unknown,59.9,3.7,14.75,2000
15,NC,unknown,62.2,0.8,15.75,2001
15,NC,unknown,62.7,0.2,16.75,2002
16,NC,unknown,31.9,2.7,3.75,1993
16,NC,unknown,36.4,6.3,4.75,1994
16,NC,unknown,40.7,2.3,5.75,1995
16,NC,unknown,44.2,4.7,6.75,1996
16,NC,unknown,49.5,5.9,7.75,1997
17,NC,unknown,37,3.5,5.75,1991
17,NC,unknown,40.4,3.4,6.75,1992
17,NC,unknown,45,5.7,7.75,1993
17,NC,unknown,51,6.3,8.75,1994
17,NC,unknown,57.7,6.9,9.75,1995
17,NC,unknown,62.5,2.7,10.75,1996
17,NC,unknown,64,0.3,11.75,1997
18,NC,unknown,36.7,1.6,4.75,1999
18,NC,unknown,38.6,2.2,5.75,2000
18,NC,unknown,41.4,3.4,6.75,2001
18,NC,unknown,44.6,3.1,7.75,2002
18,NC,unknown,48.5,4.6,8.75,2003
18,NC,unknown,52.5,3.5,9.75,2004
18,NC,unknown,55.2,1.8,10.75,2005
18,NC,unknown,57.2,2.3,11.75,2006
18,NC,unknown,60.2,3.8,12.75,2007
19,NC,unknown,29.5,2.6,2.75,2000
19,NC,unknown,31.8,2.1,3.75,2001
19,NC,unknown,35.5,5.2,4.75,2002
19,NC,unknown,38.7,1.2,5.75,2003
19,NC,unknown,39.8,1,6.75,2004
19,NC,unknown,41.4,2.3,7.75,2005
19,NC,unknown,43.3,1.4,8.75,2006
19,NC,unknown,44.2,0.4,9.75,2007
19,NC,unknown,45.5,2.2,10.75,2008
20,VA,female,40.3,1.7,5.75,1998
20,VA,female,42.2,2,6.75,1999
20,VA,female,44.9,3.4,7.75,2000
20,VA,female,48.8,4.4,8.75,2001
20,VA,female,53.4,4.7,9.75,2002
20,VA,female,59.4,7.3,10.75,2003
21,VA,unknown,27.4,3.7,3.75,1993
21,VA,unknown,31,3.6,4.75,1994
21,VA,unknown,34.7,3.6,5.75,1995
21,VA,unknown,38.3,3.6,6.75,1996
21,VA,unknown,41.1,2,7.75,1997
21,VA,unknown,42.2,0.2,8.75,1998
21,VA,unknown,42.4,0.2,9.75,1999
21,VA,unknown,45.2,5.4,10.75,2000
22,FL,female,10.5,11.7,0,1998
22,FL,female,15.6,1.4,0.75,1999
23,FL,unknown,29.2,2.1,3.75,1991
23,FL,unknown,31.4,2.3,4.75,1992
23,FL,unknown,33.7,2.4,5.75,1993
23,FL,unknown,36.9,3.9,6.75,1994
23,FL,unknown,40.4,3.2,7.75,1995
23,FL,unknown,44.4,4.9,8.75,1996
23,FL,unknown,49.7,5.6,9.75,1997
23,FL,unknown,54.3,3.6,10.75,1998
23,FL,unknown,57,1.8,11.75,1999
23,FL,unknown,58.4,1,12.75,2000
23,FL,unknown,59,0.2,13.75,2001
24,FL,male,44.2,1.9,6.75,1996
24,FL,male,45.8,1.2,7.75,1997
24,FL,male,47.3,2,8.75,1998
24,FL,male,48.9,1.2,9.75,1999
24,FL,male,51.9,4.7,10.75,2000
24,FL,male,56.9,5.5,11.75,2001
24,FL,male,62,4.6,12.75,2002
25,NC,unknown,27.6,2.8,3.75,1991
25,NC,unknown,30.4,2.9,4.75,1992
25,NC,unknown,32.9,2,5.75,1993
